status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
232633627068_10156937193172069,"以後看不到香草在天空飛了(๑•́ ₃ •̀๑)
　
樂桃航空 香草航空 #香草航空 #樂桃航空
🍎加入《蘋果》LINE，拒當知識魯窮宅 👉 https://goo.gl/pQ9xTe",樂桃和香草航空確定合併　香草品牌掰了,link,https://tw.finance.appledaily.com/realtime/20180322/1320156/,2018-03-22 18:19:44,1441,77,48,1192,2,181,4,60,2,0
232633627068_10156937186612069,"感覺保養得宜欸(๑´ㅁ`)
　
吳淡如 #吳淡如
🍎想對FB變心？我們也有IG喔(≖‿ゝ≖)✧ 👉https://goo.gl/HxyZnq",吳淡如曬1張近照　網友驚呼「你哪位」,link,https://tw.appledaily.com/new/realtime/20180322/1319905/,2018-03-22 18:09:50,509,46,2,459,1,23,23,0,3,0
232633627068_10156937172762069,"【就是eye旅遊】台北人下班來夜遊！ 寶藏巖光節感受藝術fu
這個歷史聚落的年度活動，帶您搶先來感受~~

#寶藏巖 #公館 #文青 #藝術 #蘋果live
#台大 #水源市場 #捷運 #歷史聚落",蘋果日報即時新聞,video,https://www.facebook.com/apple.realtimenews/videos/1526232757499925/,2018-03-22 18:03:12,46,0,4,46,0,0,0,0,0,0
232633627068_10156937158822069,"希望她早日康復阿！！
　
#安以軒 安以軒 Ann",安以軒被告知「有生命危險」　子宮外孕緊急動手術 | 蘋果日報,link,https://tw.entertainment.appledaily.com/realtime/20180322/1320145/,2018-03-22 17:59:15,6711,43,22,5487,14,869,7,333,1,0
232633627068_10156936935832069,"想避免貓狗大戰，關鍵在主人身上
　　
【寵物大戰】正妹帶貓與男友同居　險被他家狗咬死
https://tw.news.appledaily.com/international/realtime/20180322/1319775/
　
#影創中心 影像創意中心 動物星球頻道(台灣)",【寵物大戰】正妹帶貓與男友同居　險被他家狗咬死,video,https://www.facebook.com/appledaily.tw/videos/10156936934817069/,2018-03-22 17:50:00,271,8,17,251,3,7,8,0,2,0
232633627068_10156937054777069,"額...小肥一定沒想到會被檢舉(´ﾟдﾟ`)
　
#小肥小吃店 鄭弘儀 #逃漏稅",鄭弘儀拿5百萬發票　網友打去國稅局檢舉逃漏稅,link,https://tw.news.appledaily.com/life/realtime/20180322/1320063,2018-03-22 17:40:00,2628,124,30,1845,4,76,682,5,16,0
232633627068_10156936899297069,"管她什麼身材，扭起來就對了
　　
圖文報導【大尺碼舞者】舞蹈像命一樣重要　「肥就不能跳舞嗎？」
https://tw.lifestyle.appledaily.com/lifestyle/realtime/20180322/1319488
　
【完整 #動新聞】
https://tw.video.appledaily.com/lifestyle/20180322/1319488/",【大尺碼舞者】舞蹈像命一樣重要　「肥就不能跳舞嗎？」,video,https://www.facebook.com/appledaily.tw/videos/10156936898547069/,2018-03-22 17:30:00,257,12,12,250,7,0,0,0,0,0
232633627068_10156937057947069,"谷阿莫:我認為我是合理使用！
　
谷阿莫 AmoGood #侵權",「X分鐘看完XX電影」挨告　谷阿莫：很期待判決 | 蘋果日報,link,https://tw.news.appledaily.com/local/realtime/20180322/1320056/,2018-03-22 17:20:00,3907,278,32,3200,20,39,297,10,341,0
232633627068_10156937044877069,"大家快把油加好加滿！！(ง๑ •̀_•́)ง
　
#油價 #上漲 
🍎蘋果日報IG強勢回歸 👉 https://goo.gl/HxyZnq",【快加油】下周油價估漲　汽、柴油每公升漲0.4,link,https://tw.news.appledaily.com/life/realtime/20180322/1319818/,2018-03-22 17:10:01,1078,102,181,768,4,130,13,9,154,0
232633627068_10156937063252069,EQ也太低了吧！！,【有片】女滑手機甩長髮　惹惱鄰桌火爆男潑火鍋,link,https://tw.news.appledaily.com/local/realtime/20180322/1320049/,2018-03-22 17:03:22,10670,722,248,6879,10,1574,166,114,1927,0
232633627068_10156937038362069,"王晶認真森77 Σ(;ﾟдﾟ)
　
#王晶 #網路大電影 #智慧財產權",王晶譙網路電影「無恥」　槓上CEO發飆走人,link,https://tw.entertainment.appledaily.com/realtime/20180322/1319975/,2018-03-22 17:00:00,1241,20,6,1146,0,17,76,1,1,0
232633627068_10156937039192069,"當年的高材生，如今...
　　
【圖文報導】總統府維安警官涉毒　保六總隊速予免職
https://tw.news.appledaily.com/local/realtime/20180322/1319684
　
相關新聞【#蘋果獨家】持毒警高中頂標進警大　曾任警大柔道隊長
https://tw.news.appledaily.com/local/realtime/20180322/1319894",總統府維安警官涉毒　保六總隊速予免職,video,https://www.facebook.com/appledaily.tw/videos/10156937038632069/,2018-03-22 16:50:00,331,34,11,275,4,26,18,1,7,0
232633627068_10156937023012069,"只能說真的很衰 (´_ゝ`) #7pupu編
　
#李基銘 
🍎FB滑膩了？我們也有IG喔(≖‿ゝ≖)✧ 👉 https://goo.gl/HxyZnq",他替女友養4女感動50萬人　卻意外捲入這衰事,link,https://tw.appledaily.com/new/realtime/20180322/1319875/,2018-03-22 16:40:01,2599,2,6,2452,40,102,1,3,1,0
232633627068_10156936842952069,"流感病毒這麼多種，疫苗要怎麼打才會有效呢？ #鄉編
　　
圖文報導【#圖解新聞】四價疫苗還要等4年！三價、四價疫苗差在哪？
https://tw.news.appledaily.com/life/realtime/20180322/1319701
　
【完整 #動新聞】
https://tw.video.appledaily.com/life/20180322/1319701/
　
#流感 #流感疫苗 #蘋果圖解",【圖解新聞】四價疫苗還要等4年！三價、四價疫苗差在哪？,video,https://www.facebook.com/appledaily.tw/videos/10156936840332069/,2018-03-22 16:30:00,56,1,27,51,0,2,3,0,0,0
232633627068_10156936998317069,"璩美鳳出現了！
　
【火線話題】年改抗爭再起
https://goo.gl/J9EstF
　
#璩美鳳 #白狼 #繆德生",璩美鳳現身立院追思繆德生　白狼親密搭肩,link,https://tw.appledaily.com/new/realtime/20180322/1319994/,2018-03-22 16:24:01,1652,261,6,1206,5,84,315,4,38,0
232633627068_10156937008317069,"#蘋果最新 居然沒有通報，超危險！
　
#高雄 #竹西公共托嬰中心 #病毒群聚感染",47嬰幼兒爆病毒群聚感染　高市公托隱匿疫情挨罰,link,https://tw.news.appledaily.com/life/realtime/20180322/1320037/,2018-03-22 16:18:45,2480,78,205,975,1,625,7,27,845,0
